region_id,gx,gy,sw_lat,sw_lng,ne_lat,ne_lng
497,156,38,40.85097702022285,-73.85769164398772,40.86895509340354,-73.83392867154971
498,157,38,40.8509453237114,-73.83397363739674,40.86891851073562,-73.81020426566631
499,158,38,40.85090875083215,-73.81025565514925,40.86887705040268,-73.7864798876266
500,159,38,40.85086730159302,-73.78653770072282,40.86883071241376,-73.76275554091093
517,152,39,40.869064841526594,-73.95255099680695,40.88706238478967,-73.92880722233636
518,153,39,40.869052647281855,-73.92882650391165,40.887045308281905,-73.90507631270395
519,154,39,40.869035575342934,-73.90510202145781,40.88702335277831,-73.88134541700481
520,155,39,40.86901362571356,-73.8813775529259,40.88699651828363,-73.8576145387222
521,156,39,40.86898679839848,-73.85765310179639,40.8869648048037,-73.83388368133943
522,157,39,40.86895509340354,-73.83392867154971,40.886928212345445,-73.81015284833971
523,158,39,40.86891851073562,-73.81020426566631,40.88688674091678,-73.78642204320631
524,159,39,40.86887705040268,-73.7864798876266,40.886840390526764,-73.76269126942243
542,153,40,40.88706238478967,-73.92880722233636,40.905054981154464,-73.90505059001686
543,154,40,40.887045308281905,-73.90507631270395,40.905033019775615,-73.88131326366718
544,155,40,40.88702335277831,-73.88134541700481,40.90500617810011,-73.85757595474821
545,156,40,40.88699651828363,-73.8576145387222,40.90497445613374,-73.83383866674605
546,157,40,40.8869648048037,-73.83388368133943,40.90493785388344,-73.81010140314679
547,158,40,40.886928212345445,-73.81015284833971,40.90489637135717,-73.78636416743652
566,153,41,40.905072062231866,-73.92878793031112,40.923064592181966,-73.90502485338517
567,154,41,40.905054981154464,-73.90505059001686,40.92304262492687,-73.88128109289883
568,155,41,40.905033019775615,-73.88131326366718,40.92301577606926,-73.8575373498574
569,156,41,40.90500617810011,-73.85757595474821,40.92298404561499,-73.83379362774977
